nodes,jobs,duration(ms),cost
10,10,0,84748
10,11,0,84748
10,12,0,84748
10,13,0,84748
10,14,0,84748
10,15,0,84748
10,16,0,84748
10,17,0,84748
10,18,0,84748
10,19,0,84748
10,20,0,84748
10,21,0,84748
10,22,0,84748
10,23,0,84748
10,24,0,84748
10,25,505,84748
10,26,0,84748
10,27,0,84748
10,28,32,84748
10,29,0,84748
10,30,16,84748
10,31,0,84748
10,32,0,84748
10,33,0,84748
10,34,0,84748
10,35,0,84748
10,36,0,84748
10,37,0,84748
10,38,0,84748
10,39,0,84748
10,40,0,84748
10,41,0,84748
10,42,0,84748
10,43,0,84748
10,44,0,84748
10,45,0,84748
10,46,0,84748
10,47,0,84748
10,48,0,84748
10,49,0,84748
10,50,0,84748
10,51,0,84748
10,52,0,84748
10,53,0,84748
10,54,0,84748
10,55,0,84748
10,56,0,84748
10,57,0,84748
10,58,0,84748
10,59,0,84748
10,60,0,84748
10,61,0,84748
10,62,0,84748
10,63,0,84748
10,64,0,84748
10,65,0,84748
10,66,0,84748
10,67,0,84748
10,68,0,84748
10,69,0,84748
10,70,0,84748
10,71,0,84748
10,72,0,84748
10,73,0,84748
10,74,0,84748
10,75,0,84748
10,76,0,84748
10,77,0,84748
10,78,0,84748
10,79,0,84748
10,80,0,84748
10,81,0,84748
10,82,0,84748
10,83,0,84748
10,84,0,84748
10,85,0,84748
10,86,0,84748
10,87,0,84748
10,88,0,84748
10,89,0,84748
10,90,0,84748
10,91,0,84748
10,92,0,84748
10,93,0,84748
10,94,0,84748
10,95,0,84748
10,96,0,84748
10,97,0,84748
10,98,0,84748
10,99,0,84748
10,100,0,84748
10,101,505,84748
10,102,10,84748
10,103,13,84748
10,104,0,84748
10,105,0,84748
10,106,0,84748
10,107,0,84748
10,108,0,84748
10,109,0,84748
10,110,0,84748
10,111,0,84748
10,112,0,84748
10,113,0,84748
10,114,0,84748
10,115,0,84748
10,116,0,84748
10,117,0,84748
10,118,0,84748
10,119,0,84748
10,120,0,84748
10,121,0,84748
10,122,0,84748
10,123,0,84748
10,124,0,84748
10,125,0,84748
10,126,0,84748
10,127,0,84748
10,128,0,84748
10,129,0,84748
10,130,0,84748
10,131,0,84748
10,132,0,84748
10,133,0,84748
10,134,0,84748
10,135,0,84748
10,136,0,84748
10,137,0,84748
10,138,0,84748
10,139,0,84748
10,140,0,84748
10,141,0,84748
10,142,0,84748
10,143,0,84748
10,144,0,84748
10,145,0,84748
10,146,0,84748
10,147,0,84748
10,148,0,84748
10,149,0,84748
10,150,0,84748
10,151,0,84748
10,152,0,84748
10,153,0,84748
10,154,0,84748
10,155,0,84748
10,156,0,84748
10,157,0,84748
10,158,0,84748
10,159,0,84748
10,160,0,84748
10,161,0,84748
10,162,0,84748
10,163,0,84748
10,164,0,84748
10,165,0,84748
10,166,0,84748
10,167,0,84748
10,168,0,84748
10,169,0,84748
10,170,0,84748
10,171,0,84748
10,172,505,84748
10,173,12,84748
10,174,10,84748
10,175,0,84748
10,176,0,84748
10,177,0,84748
10,178,0,84748
10,179,0,84748
10,180,0,84748
10,181,0,84748
10,182,0,84748
10,183,0,84748
10,184,0,84748
10,185,0,84748
10,186,0,84748
10,187,0,84748
10,188,0,84748
10,189,0,84748
10,190,0,84748
10,191,0,84748
10,192,0,84748
10,193,0,84748
10,194,0,84748
10,195,0,84748
10,196,0,84748
10,197,0,84748
10,198,0,84748
10,199,0,84748
10,200,0,84748
10,201,0,84748
10,202,0,84748
10,203,0,84748
10,204,0,84748
10,205,0,84748
10,206,0,84748
10,207,0,84748
10,208,0,84748
10,209,0,84748
10,210,0,84748
10,211,0,84748
10,212,0,84748
10,213,0,84748
10,214,0,84748
10,215,0,84748
10,216,0,84748
