nodes,jobs,duration(ms),cost
10,10,0,818133
10,11,525,818133
10,12,0,818133
10,13,0,818133
10,14,0,818133
10,15,0,818133
10,16,0,818133
10,17,0,818133
10,18,0,818133
10,19,0,818133
10,20,0,818133
10,21,0,818133
10,22,0,818133
10,23,0,818133
10,24,0,818133
10,25,0,818133
10,26,0,818133
10,27,0,818133
10,28,0,818133
10,29,0,818133
10,30,0,818133
10,31,0,818133
10,32,0,818133
10,33,505,818133
10,34,15,818133
10,35,0,818133
10,36,0,818133
10,37,0,818133
10,38,0,818133
10,39,0,818133
10,40,0,818133
10,41,0,818133
10,42,0,818133
10,43,0,818133
10,44,0,818133
10,45,0,818133
10,46,0,818133
10,47,0,818133
10,48,0,818133
10,49,0,818133
10,50,0,818133
10,51,0,818133
10,52,0,818133
10,53,0,818133
10,54,0,818133
10,55,0,818133
10,56,0,818133
10,57,0,818133
10,58,0,818133
10,59,20,818133
10,60,0,818133
10,61,0,818133
10,62,0,818133
10,63,0,818133
10,64,0,818133
10,65,0,818133
10,66,0,818133
10,67,0,818133
10,68,0,818133
10,69,0,818133
10,70,0,818133
10,71,0,818133
10,72,0,818133
10,73,0,818133
10,74,0,818133
10,75,0,818133
10,76,0,818133
10,77,0,818133
10,78,0,818133
10,79,0,818133
10,80,0,818133
10,81,0,818133
10,82,519,818133
10,83,12,818133
10,84,0,818133
10,85,0,818133
10,86,0,818133
10,87,0,818133
10,88,0,818133
10,89,0,818133
10,90,0,818133
10,91,0,818133
10,92,0,818133
10,93,0,818133
10,94,0,818133
10,95,0,818133
10,96,0,818133
10,97,0,818133
10,98,0,818133
10,99,0,818133
10,100,0,818133
10,101,0,818133
10,102,0,818133
10,103,0,818133
10,104,0,818133
10,105,0,818133
10,106,0,818133
10,107,0,818133
10,108,507,818133
10,109,26,818133
10,110,0,818133
10,111,0,818133
10,112,0,818133
10,113,0,818133
10,114,0,818133
10,115,0,818133
10,116,0,818133
10,117,0,818133
10,118,0,818133
10,119,0,818133
10,120,0,818133
10,121,0,818133
10,122,0,818133
10,123,0,818133
10,124,0,818133
10,125,0,818133
10,126,0,818133
10,127,0,818133
10,128,0,818133
10,129,0,818133
10,130,0,818133
10,131,0,818133
10,132,0,818133
10,133,0,818133
10,134,509,818133
10,135,0,818133
10,136,0,818133
10,137,62,818133
10,138,0,818133
10,139,0,818133
10,140,0,818133
10,141,0,818133
10,142,0,818133
10,143,0,818133
10,144,0,818133
10,145,0,818133
10,146,0,818133
10,147,0,818133
10,148,0,818133
10,149,0,818133
10,150,0,818133
10,151,0,818133
10,152,0,818133
10,153,0,818133
10,154,0,818133
10,155,0,818133
10,156,0,818133
10,157,0,818133
10,158,0,818133
10,159,0,818133
10,160,0,818133
10,161,0,818133
10,162,0,818133
10,163,516,818133
10,164,0,818133
10,165,0,818133
10,166,0,818133
10,167,0,818133
10,168,0,818133
10,169,0,818133
10,170,0,818133
10,171,0,818133
10,172,0,818133
10,173,0,818133
10,174,0,818133
10,175,0,818133
10,176,0,818133
10,177,0,818133
10,178,0,818133
10,179,0,818133
10,180,0,818133
10,181,0,818133
10,182,0,818133
10,183,0,818133
10,184,0,818133
10,185,0,818133
10,186,0,818133
10,187,0,818133
10,188,0,818133
10,189,525,818133
10,190,0,818133
10,191,0,818133
10,192,0,818133
10,193,0,818133
10,194,0,818133
10,195,0,818133
10,196,0,818133
10,197,0,818133
10,198,0,818133
10,199,0,818133
10,200,0,818133
10,201,0,818133
10,202,0,818133
10,203,0,818133
10,204,0,818133
10,205,0,818133
10,206,0,818133
10,207,0,818133
10,208,0,818133
10,209,0,818133
10,210,0,818133
10,211,0,818133
10,212,0,818133
10,213,0,818133
10,214,0,818133
10,215,513,818133
10,216,0,818133
10,217,0,818133
10,218,0,818133
10,219,0,818133
10,220,0,818133
10,221,0,818133
10,222,0,818133
10,223,0,818133
10,224,0,818133
10,225,0,818133
10,226,0,818133
10,227,0,818133
10,228,0,818133
10,229,0,818133
10,230,0,818133
10,231,0,818133
10,232,0,818133
10,233,0,818133
10,234,0,818133
10,235,0,818133
10,236,0,818133
10,237,0,818133
10,238,0,818133
10,239,0,818133
10,240,0,818133
10,241,516,818133
10,242,0,818133
10,243,0,818133
10,244,0,818133
10,245,0,818133
10,246,0,818133
10,247,0,818133
10,248,0,818133
10,249,0,818133
10,250,0,818133
10,251,0,818133
10,252,0,818133
10,253,0,818133
10,254,0,818133
10,255,0,818133
10,256,0,818133
10,257,0,818133
10,258,0,818133
10,259,0,818133
10,260,0,818133
10,261,0,818133
10,262,0,818133
10,263,0,818133
10,264,0,818133
10,265,0,818133
10,266,506,818133
10,267,20,818133
10,268,0,818133
10,269,0,818133
10,270,0,818133
10,271,0,818133
10,272,0,818133
10,273,0,818133
10,274,0,818133
10,275,0,818133
10,276,0,818133
10,277,0,818133
10,278,0,818133
10,279,0,818133
10,280,0,818133
10,281,0,818133
10,282,0,818133
10,283,0,818133
10,284,0,818133
10,285,0,818133
10,286,505,818133
10,287,19,818133
10,288,0,818133
10,289,0,818133
10,290,0,818133
10,291,0,818133
10,292,0,818133
10,293,0,818133
10,294,0,818133
10,295,0,818133
10,296,0,818133
10,297,0,818133
10,298,0,818133
10,299,0,818133
10,300,0,818133
10,301,0,818133
10,302,0,818133
10,303,0,818133
10,304,0,818133
10,305,0,818133
10,306,0,818133
10,307,0,818133
10,308,0,818133
10,309,0,818133
10,310,0,818133
10,311,0,818133
10,312,514,818133
10,313,8,818133
10,314,0,818133
10,315,0,818133
10,316,0,818133
10,317,0,818133
10,318,0,818133
10,319,0,818133
10,320,0,818133
10,321,0,818133
10,322,0,818133
10,323,0,818133
10,324,0,818133
10,325,0,818133
10,326,0,818133
10,327,0,818133
10,328,0,818133
10,329,0,818133
10,330,0,818133
10,331,0,818133
10,332,0,818133
10,333,0,818133
10,334,0,818133
10,335,0,818133
10,336,0,818133
10,337,0,818133
10,338,505,818133
10,339,18,818133
10,340,0,818133
10,341,0,818133
10,342,0,818133
10,343,0,818133
10,344,0,818133
10,345,0,818133
10,346,0,818133
10,347,0,818133
10,348,0,818133
10,349,0,818133
10,350,0,818133
10,351,0,818133
10,352,0,818133
10,353,0,818133
10,354,0,818133
10,355,0,818133
10,356,0,818133
10,357,0,818133
10,358,0,818133
10,359,0,818133
10,360,0,818133
10,361,0,818133
10,362,505,818133
10,363,13,818133
10,364,11,818133
10,365,0,818133
10,366,0,818133
10,367,0,818133
10,368,0,818133
10,369,0,818133
10,370,0,818133
10,371,0,818133
10,372,0,818133
10,373,0,818133
10,374,0,818133
10,375,0,818133
10,376,0,818133
10,377,0,818133
10,378,0,818133
10,379,0,818133
10,380,0,818133
10,381,0,818133
10,382,0,818133
10,383,0,818133
10,384,0,818133
10,385,0,818133
10,386,0,818133
10,387,0,818133
10,388,0,818133
10,389,505,818133
10,390,0,818133
10,391,52,818133
10,392,0,818133
10,393,0,818133
10,394,0,818133
10,395,0,818133
10,396,0,818133
10,397,0,818133
10,398,0,818133
10,399,0,818133
10,400,0,818133
10,401,0,818133
10,402,0,818133
10,403,0,818133
10,404,0,818133
10,405,0,818133
10,406,0,818133
10,407,0,818133
10,408,0,818133
10,409,0,818133
10,410,0,818133
10,411,0,818133
10,412,518,818133
10,413,0,818133
10,414,0,818133
10,415,0,818133
10,416,0,818133
10,417,0,818133
10,418,0,818133
10,419,0,818133
10,420,0,818133
10,421,0,818133
10,422,0,818133
10,423,0,818133
10,424,0,818133
10,425,0,818133
10,426,0,818133
10,427,0,818133
10,428,0,818133
10,429,0,818133
10,430,0,818133
10,431,0,818133
10,432,0,818133
10,433,0,818133
10,434,0,818133
10,435,0,818133
10,436,1046,818133
10,437,0,818133
10,438,0,818133
10,439,0,818133
10,440,0,818133
10,441,0,818133
10,442,0,818133
10,443,0,818133
10,444,0,818133
10,445,0,818133
10,446,0,818133
10,447,0,818133
10,448,0,818133
10,449,0,818133
10,450,519,818133
10,451,15,818133
10,452,0,818133
10,453,0,818133
10,454,0,818133
10,455,0,818133
10,456,0,818133
10,457,0,818133
10,458,0,818133
10,459,0,818133
10,460,0,818133
10,461,0,818133
10,462,0,818133
10,463,0,818133
10,464,0,818133
10,465,0,818133
10,466,0,818133
10,467,0,818133
10,468,0,818133
10,469,0,818133
10,470,0,818133
10,471,0,818133
10,472,0,818133
10,473,0,818133
10,474,0,818133
10,475,515,818133
10,476,8,818133
10,477,0,818133
10,478,0,818133
10,479,0,818133
10,480,0,818133
10,481,0,818133
10,482,0,818133
10,483,0,818133
10,484,0,818133
10,485,0,818133
10,486,0,818133
10,487,0,818133
10,488,0,818133
10,489,0,818133
10,490,0,818133
10,491,0,818133
10,492,0,818133
10,493,0,818133
10,494,0,818133
10,495,0,818133
10,496,0,818133
10,497,0,818133
10,498,0,818133
10,499,0,818133
10,500,0,818133
10,501,515,818133
10,502,0,818133
10,503,0,818133
10,504,0,818133
10,505,0,818133
10,506,0,818133
10,507,0,818133
10,508,0,818133
10,509,0,818133
10,510,0,818133
10,511,0,818133
10,512,0,818133
10,513,0,818133
10,514,0,818133
10,515,0,818133
10,516,0,818133
10,517,0,818133
10,518,0,818133
10,519,0,818133
10,520,0,818133
10,521,0,818133
10,522,0,818133
10,523,0,818133
10,524,0,818133
10,525,506,818133
10,526,16,818133
10,527,0,818133
10,528,0,818133
10,529,0,818133
10,530,0,818133
10,531,0,818133
10,532,0,818133
10,533,0,818133
10,534,0,818133
10,535,0,818133
10,536,0,818133
10,537,0,818133
10,538,0,818133
10,539,0,818133
10,540,0,818133
10,541,0,818133
10,542,0,818133
10,543,0,818133
10,544,0,818133
10,545,0,818133
10,546,0,818133
10,547,0,818133
10,548,0,818133
10,549,0,818133
10,550,0,818133
10,551,0,818133
10,552,0,818133
10,553,0,818133
10,554,0,818133
10,555,514,818133
10,556,10,818133
10,557,0,818133
10,558,0,818133
10,559,0,818133
10,560,0,818133
10,561,0,818133
10,562,0,818133
10,563,0,818133
10,564,0,818133
10,565,0,818133
10,566,0,818133
10,567,0,818133
10,568,0,818133
10,569,0,818133
10,570,0,818133
10,571,0,818133
10,572,0,818133
10,573,0,818133
10,574,0,818133
10,575,0,818133
10,576,0,818133
10,577,0,818133
10,578,0,818133
10,579,0,818133
10,580,0,818133
10,581,0,818133
10,582,0,818133
10,583,0,818133
10,584,514,818133
10,585,7,818133
10,586,0,818133
10,587,0,818133
10,588,0,818133
10,589,0,818133
10,590,0,818133
10,591,0,818133
10,592,0,818133
10,593,0,818133
10,594,0,818133
10,595,0,818133
10,596,0,818133
10,597,0,818133
10,598,0,818133
10,599,0,818133
10,600,0,818133
10,601,0,818133
10,602,0,818133
10,603,0,818133
10,604,0,818133
10,605,0,818133
10,606,0,818133
10,607,0,818133
10,608,0,818133
10,609,0,818133
10,610,0,818133
10,611,0,818133
10,612,0,818133
10,613,515,818133
10,614,8,818133
10,615,0,818133
10,616,0,818133
10,617,0,818133
10,618,0,818133
10,619,0,818133
10,620,0,818133
10,621,0,818133
10,622,0,818133
10,623,0,818133
10,624,0,818133
10,625,0,818133
10,626,0,818133
10,627,0,818133
10,628,0,818133
10,629,0,818133
10,630,0,818133
10,631,0,818133
10,632,0,818133
10,633,0,818133
10,634,0,818133
10,635,0,818133
10,636,0,818133
10,637,0,818133
10,638,0,818133
10,639,0,818133
10,640,0,818133
10,641,0,818133
10,642,505,818133
10,643,19,818133
10,644,0,818133
10,645,0,818133
10,646,0,818133
10,647,0,818133
10,648,0,818133
10,649,0,818133
10,650,0,818133
10,651,0,818133
10,652,0,818133
10,653,0,818133
10,654,0,818133
10,655,0,818133
10,656,0,818133
10,657,0,818133
10,658,0,818133
10,659,0,818133
10,660,0,818133
10,661,0,818133
10,662,0,818133
10,663,0,818133
10,664,0,818133
10,665,0,818133
10,666,0,818133
10,667,0,818133
10,668,0,818133
10,669,0,818133
10,670,0,818133
10,671,505,818133
10,672,0,818133
10,673,0,818133
10,674,73,818133
10,675,0,818133
10,676,0,818133
10,677,0,818133
10,678,0,818133
10,679,0,818133
10,680,0,818133
10,681,0,818133
10,682,0,818133
10,683,0,818133
10,684,0,818133
10,685,0,818133
10,686,0,818133
10,687,0,818133
10,688,0,818133
10,689,0,818133
10,690,0,818133
10,691,0,818133
10,692,0,818133
10,693,0,818133
10,694,0,818133
10,695,0,818133
10,696,0,818133
10,697,0,818133
10,698,0,818133
10,699,0,818133
10,700,0,818133
10,701,506,818133
10,702,29,818133
10,703,0,818133
10,704,0,818133
10,705,0,818133
10,706,0,818133
10,707,0,818133
10,708,0,818133
10,709,0,818133
10,710,0,818133
10,711,0,818133
10,712,0,818133
10,713,0,818133
10,714,0,818133
10,715,0,818133
10,716,0,818133
10,717,0,818133
10,718,0,818133
10,719,0,818133
10,720,0,818133
10,721,0,818133
10,722,0,818133
10,723,0,818133
10,724,0,818133
10,725,0,818133
10,726,0,818133
10,727,0,818133
10,728,0,818133
10,729,0,818133
10,730,0,818133
10,731,516,818133
10,732,0,818133
10,733,0,818133
10,734,0,818133
10,735,0,818133
10,736,0,818133
10,737,0,818133
10,738,0,818133
10,739,0,818133
10,740,0,818133
10,741,0,818133
10,742,0,818133
10,743,0,818133
10,744,0,818133
10,745,0,818133
10,746,0,818133
10,747,0,818133
10,748,0,818133
10,749,0,818133
10,750,0,818133
10,751,0,818133
10,752,0,818133
10,753,0,818133
10,754,0,818133
10,755,0,818133
10,756,0,818133
10,757,0,818133
10,758,0,818133
10,759,514,818133
10,760,0,818133
10,761,0,818133
10,762,0,818133
10,763,0,818133
