nodes,jobs,duration(ms),cost
20,20,0,1767978
20,21,521,1767978
20,22,0,1767978
20,23,521,1767978
20,24,0,1767978
20,25,521,1767978
20,26,0,1767978
20,27,522,1767978
20,28,0,1767978
20,29,519,1767978
20,30,0,1767978
20,31,516,1767978
20,32,0,1767978
20,33,519,1767978
20,34,0,1767978
20,35,522,1767978
20,36,0,1767978
20,37,505,1767978
20,38,23,1767978
20,39,0,1767978
20,40,526,1767978
20,41,0,1767978
20,42,522,1767978
20,43,0,1767978
20,44,510,1767978
20,45,0,1767978
20,46,581,1767978
20,47,0,1767978
20,48,527,1767978
20,49,0,1767978
20,50,519,1767978
20,51,0,1767978
20,52,521,1767978
20,53,0,1767978
20,54,558,1767978
20,55,0,1767978
20,56,511,1767978
20,57,9,1767978
20,58,0,1767978
20,59,517,1767978
20,60,0,1767978
20,61,518,1767978
20,62,0,1767978
20,63,517,1767978
20,64,0,1767978
20,65,522,1767978
20,66,0,1767978
20,67,554,1767978
20,68,0,1767978
20,69,525,1767978
20,70,0,1767978
20,71,511,1767978
20,72,10,1767978
20,73,0,1767978
20,74,520,1767978
20,75,0,1767978
20,76,521,1767978
20,77,0,1767978
20,78,518,1767978
20,79,0,1767978
20,80,515,1767978
20,81,0,1767978
20,82,516,1767978
20,83,0,1767978
20,84,509,1767978
20,85,0,1767978
20,86,522,1767978
20,87,0,1767978
20,88,521,1767978
20,89,0,1767978
20,90,520,1767978
20,91,0,1767978
20,92,0,1767978
20,93,521,1767978
20,94,0,1767978
20,95,537,1767978
20,96,0,1767978
20,97,546,1767978
20,98,0,1767978
20,99,551,1767978
20,100,0,1767978
20,101,520,1767978
20,102,0,1767978
20,103,0,1767978
20,104,517,1767978
20,105,0,1767978
20,106,517,1767978
20,107,0,1767978
20,108,588,1767978
20,109,0,1767978
20,110,1063,1767978
20,111,0,1767978
20,112,522,1767978
20,113,0,1767978
20,114,518,1767978
20,115,0,1767978
20,116,517,1767978
20,117,0,1767978
20,118,520,1767978
20,119,0,1767978
20,120,0,1767978
20,121,528,1767978
20,122,0,1767978
20,123,519,1767978
20,124,0,1767978
20,125,524,1767978
20,126,0,1767978
20,127,0,1767978
20,128,0,1767978
20,129,0,1767978
20,130,988,1767978
20,131,0,1767978
20,132,0,1767978
20,133,0,1767978
20,134,1002,1767978
20,135,0,1767978
20,136,520,1767978
20,137,0,1767978
20,138,0,1767978
20,139,0,1767978
20,140,988,1767978
20,141,0,1767978
20,142,0,1767978
20,143,0,1767978
20,144,0,1767978
20,145,1000,1767978
20,146,0,1767978
20,147,0,1767978
20,148,0,1767978
20,149,999,1767978
20,150,0,1767978
20,151,0,1767978
20,152,0,1767978
20,153,1001,1767978
20,154,0,1767978
20,155,0,1767978
20,156,0,1767978
20,157,0,1767978
20,158,999,1767978
20,159,0,1767978
20,160,0,1767978
20,161,0,1767978
20,162,999,1767978
20,163,0,1767978
20,164,0,1767978
20,165,0,1767978
20,166,0,1767978
20,167,1000,1767978
20,168,0,1767978
20,169,0,1767978
20,170,0,1767978
20,171,1000,1767978
20,172,0,1767978
20,173,0,1767978
20,174,0,1767978
20,175,964,1767978
20,176,0,1767978
20,177,524,1767978
20,178,0,1767978
20,179,517,1767978
20,180,0,1767978
20,181,505,1767978
20,182,22,1767978
20,183,0,1767978
20,184,522,1767978
20,185,0,1767978
20,186,518,1767978
20,187,0,1767978
20,188,517,1767978
20,189,0,1767978
20,190,503,1767978
20,191,14,1767978
20,192,0,1767978
20,193,517,1767978
20,194,0,1767978
20,195,517,1767978
20,196,0,1767978
20,197,518,1767978
20,198,0,1767978
20,199,0,1767978
20,200,520,1767978
20,201,0,1767978
20,202,517,1767978
20,203,0,1767978
20,204,517,1767978
20,205,0,1767978
20,206,514,1767978
20,207,0,1767978
20,208,510,1767978
20,209,0,1767978
20,210,0,1767978
20,211,748,1767978
20,212,520,1767978
20,213,0,1767978
20,214,512,1767978
20,215,0,1767978
20,216,518,1767978
20,217,0,1767978
20,218,520,1767978
20,219,0,1767978
20,220,517,1767978
20,221,0,1767978
20,222,521,1767978
20,223,0,1767978
20,224,0,1767978
20,225,517,1767978
20,226,0,1767978
20,227,518,1767978
20,228,0,1767978
20,229,517,1767978
20,230,0,1767978
20,231,517,1767978
20,232,0,1767978
20,233,0,1767978
20,234,585,1767978
20,235,0,1767978
20,236,0,1767978
20,237,0,1767978
20,238,924,1767978
20,239,0,1767978
20,240,0,1767978
20,241,0,1767978
20,242,998,1767978
20,243,0,1767978
20,244,0,1767978
20,245,0,1767978
20,246,0,1767978
20,247,1000,1767978
20,248,0,1767978
20,249,0,1767978
20,250,0,1767978
20,251,999,1767978
20,252,0,1767978
20,253,0,1767978
20,254,0,1767978
20,255,999,1767978
20,256,0,1767978
20,257,0,1767978
20,258,0,1767978
20,259,1000,1767978
20,260,0,1767978
20,261,0,1767978
20,262,0,1767978
20,263,999,1767978
20,264,0,1767978
20,265,0,1767978
20,266,0,1767978
20,267,1000,1767978
20,268,0,1767978
20,269,0,1767978
20,270,0,1767978
20,271,1007,1767978
20,272,0,1767978
20,273,0,1767978
20,274,0,1767978
20,275,1011,1767978
20,276,0,1767978
20,277,0,1767978
20,278,0,1767978
20,279,998,1767978
20,280,0,1767978
20,281,0,1767978
20,282,0,1767978
20,283,0,1767978
20,284,1000,1767978
20,285,0,1767978
20,286,0,1767978
20,287,0,1767978
20,288,1000,1767978
20,289,0,1767978
20,290,0,1767978
20,291,0,1767978
20,292,1000,1767978
20,293,0,1767978
20,294,0,1767978
20,295,0,1767978
20,296,0,1767978
20,297,1002,1767978
20,298,0,1767978
20,299,0,1767978
20,300,0,1767978
20,301,998,1767978
20,302,0,1767978
20,303,0,1767978
20,304,0,1767978
20,305,1001,1767978
20,306,0,1767978
20,307,0,1767978
20,308,0,1767978
20,309,0,1767978
20,310,1023,1767978
20,311,0,1767978
20,312,527,1767978
20,313,0,1767978
20,314,526,1767978
20,315,526,1767978
20,316,0,1767978
20,317,524,1767978
20,318,0,1767978
20,319,0,1767978
20,320,519,1767978
20,321,0,1767978
20,322,522,1767978
20,323,0,1767978
20,324,530,1767978
20,325,0,1767978
20,326,527,1767978
20,327,0,1767978
20,328,0,1767978
20,329,520,1767978
20,330,0,1767978
20,331,520,1767978
20,332,0,1767978
20,333,512,1767978
20,334,0,1767978
20,335,516,1767978
20,336,0,1767978
20,337,0,1767978
20,338,523,1767978
20,339,0,1767978
20,340,520,1767978
20,341,0,1767978
20,342,524,1767978
20,343,0,1767978
20,344,526,1767978
20,345,0,1767978
20,346,0,1767978
20,347,510,1767978
20,348,0,1767978
20,349,519,1767978
20,350,0,1767978
20,351,523,1767978
20,352,0,1767978
20,353,510,1767978
20,354,7,1767978
20,355,0,1767978
20,356,531,1767978
20,357,0,1767978
20,358,528,1767978
20,359,0,1767978
20,360,517,1767978
20,361,0,1767978
20,362,0,1767978
20,363,0,1767978
20,364,0,1767978
20,365,991,1767978
20,366,0,1767978
20,367,0,1767978
20,368,0,1767978
20,369,1001,1767978
20,370,0,1767978
20,371,0,1767978
20,372,0,1767978
20,373,0,1767978
20,374,1000,1767978
20,375,0,1767978
20,376,0,1767978
20,377,0,1767978
20,378,999,1767978
20,379,0,1767978
20,380,510,1767978
20,381,0,1767978
20,382,0,1767978
20,383,0,1767978
20,384,0,1767978
20,385,1001,1767978
20,386,0,1767978
20,387,0,1767978
20,388,0,1767978
20,389,997,1767978
20,390,0,1767978
20,391,0,1767978
20,392,0,1767978
20,393,0,1767978
20,394,1012,1767978
20,395,0,1767978
20,396,0,1767978
20,397,0,1767978
20,398,997,1767978
20,399,0,1767978
20,400,0,1767978
20,401,0,1767978
20,402,1002,1767978
20,403,0,1767978
20,404,0,1767978
20,405,0,1767978
20,406,0,1767978
20,407,998,1767978
20,408,0,1767978
20,409,0,1767978
20,410,0,1767978
20,411,1000,1767978
20,412,0,1767978
20,413,0,1767978
20,414,0,1767978
20,415,0,1767978
20,416,999,1767978
20,417,0,1767978
20,418,0,1767978
20,419,1001,1767978
20,420,0,1767978
20,421,0,1767978
20,422,0,1767978
20,423,997,1767978
20,424,0,1767978
20,425,0,1767978
20,426,0,1767978
20,427,0,1767978
20,428,1001,1767978
20,429,0,1767978
20,430,0,1767978
20,431,0,1767978
20,432,1000,1767978
20,433,0,1767978
20,434,0,1767978
20,435,0,1767978
20,436,0,1767978
20,437,998,1767978
20,438,0,1767978
20,439,0,1767978
20,440,0,1767978
20,441,1001,1767978
20,442,0,1767978
20,443,0,1767978
20,444,0,1767978
20,445,1001,1767978
20,446,0,1767978
20,447,0,1767978
20,448,0,1767978
20,449,0,1767978
20,450,998,1767978
20,451,0,1767978
20,452,0,1767978
20,453,0,1767978
20,454,998,1767978
20,455,0,1767978
20,456,0,1767978
20,457,0,1767978
20,458,0,1767978
20,459,1000,1767978
20,460,0,1767978
20,461,0,1767978
20,462,0,1767978
20,463,999,1767978
20,464,0,1767978
20,465,0,1767978
20,466,0,1767978
20,467,1009,1767978
20,468,0,1767978
20,469,0,1767978
20,470,0,1767978
20,471,0,1767978
20,472,1000,1767978
20,473,0,1767978
20,474,0,1767978
20,475,0,1767978
20,476,1000,1767978
20,477,0,1767978
20,478,0,1767978
20,479,0,1767978
20,480,0,1767978
20,481,997,1767978
20,482,0,1767978
20,483,0,1767978
20,484,0,1767978
20,485,999,1767978
20,486,0,1767978
20,487,0,1767978
20,488,0,1767978
20,489,0,1767978
20,490,1002,1767978
20,491,0,1767978
20,492,0,1767978
20,493,0,1767978
20,494,1000,1767978
20,495,0,1767978
20,496,0,1767978
20,497,0,1767978
20,498,1000,1767978
20,499,0,1767978
20,500,0,1767978
20,501,0,1767978
20,502,997,1767978
20,503,0,1767978
20,504,0,1767978
20,505,0,1767978
20,506,1001,1767978
20,507,0,1767978
20,508,0,1767978
20,509,0,1767978
20,510,999,1767978
20,511,0,1767978
20,512,0,1767978
20,513,0,1767978
20,514,998,1767978
20,515,0,1767978
20,516,0,1767978
20,517,0,1767978
20,518,1000,1767978
20,519,0,1767978
20,520,0,1767978
20,521,0,1767978
20,522,1000,1767978
20,523,0,1767978
20,524,0,1767978
20,525,0,1767978
20,526,0,1767978
20,527,999,1767978
20,528,0,1767978
20,529,0,1767978
20,530,0,1767978
20,531,1000,1767978
20,532,0,1767978
20,533,0,1767978
20,534,0,1767978
20,535,0,1767978
20,536,1000,1767978
20,537,0,1767978
20,538,0,1767978
20,539,0,1767978
20,540,999,1767978
20,541,0,1767978
20,542,0,1767978
20,543,0,1767978
20,544,0,1767978
20,545,1000,1767978
20,546,0,1767978
20,547,0,1767978
20,548,0,1767978
20,549,1000,1767978
20,550,0,1767978
20,551,0,1767978
20,552,0,1767978
20,553,999,1767978
20,554,0,1767978
20,555,0,1767978
20,556,0,1767978
20,557,0,1767978
20,558,0,1767978
20,559,1199,1767978
20,560,0,1767978
20,561,0,1767978
20,562,0,1767978
20,563,999,1767978
20,564,0,1767978
20,565,0,1767978
20,566,0,1767978
20,567,999,1767978
20,568,0,1767978
20,569,0,1767978
20,570,0,1767978
20,571,0,1767978
20,572,998,1767978
20,573,0,1767978
20,574,0,1767978
20,575,0,1767978
20,576,1001,1767978
20,577,0,1767978
20,578,0,1767978
20,579,0,1767978
20,580,0,1767978
20,581,999,1767978
20,582,0,1767978
20,583,0,1767978
20,584,0,1767978
20,585,1000,1767978
20,586,0,1767978
20,587,0,1767978
20,588,0,1767978
20,589,999,1767978
20,590,0,1767978
20,591,0,1767978
20,592,0,1767978
20,593,1000,1767978
20,594,0,1767978
20,595,0,1767978
20,596,0,1767978
20,597,0,1767978
20,598,1001,1767978
20,599,0,1767978
