nodes,jobs,duration(ms),cost
3,3,0,24786
3,4,0,24786
3,5,0,24786
3,6,0,24786
3,7,0,24786
3,8,0,24786
3,9,0,24786
3,10,0,24786
3,11,0,24786
3,12,0,24786
3,13,0,24786
3,14,0,24786
3,15,0,24786
3,16,0,24786
3,17,0,24786
3,18,0,24786
3,19,0,24786
3,20,0,24786
3,21,0,24786
3,22,0,24786
3,23,0,24786
3,24,0,24786
3,25,0,24786
3,26,0,24786
3,27,0,24786
3,28,0,24786
3,29,0,24786
3,30,0,24786
3,31,0,24786
3,32,0,24786
3,33,0,24786
3,34,0,24786
3,35,0,24786
3,36,0,24786
3,37,0,24786
3,38,0,24786
3,39,0,24786
3,40,0,24786
3,41,0,24786
3,42,0,24786
3,43,0,24786
3,44,0,24786
3,45,0,24786
3,46,0,24786
3,47,0,24786
3,48,0,24786
3,49,0,24786
3,50,0,24786
3,51,0,24786
3,52,0,24786
3,53,0,24786
3,54,0,24786
3,55,0,24786
3,56,0,24786
3,57,0,24786
3,58,0,24786
3,59,0,24786
3,60,0,24786
3,61,0,24786
3,62,0,24786
3,63,0,24786
3,64,0,24786
3,65,0,24786
3,66,0,24786
3,67,0,24786
3,68,0,24786
3,69,0,24786
3,70,0,24786
3,71,0,24786
3,72,0,24786
3,73,0,24786
3,74,0,24786
3,75,0,24786
3,76,0,24786
3,77,0,24786
3,78,0,24786
3,79,0,24786
3,80,0,24786
3,81,0,24786
3,82,0,24786
3,83,0,24786
3,84,0,24786
3,85,0,24786
3,86,0,24786
3,87,0,24786
3,88,0,24786
3,89,0,24786
3,90,0,24786
3,91,0,24786
3,92,0,24786
3,93,0,24786
3,94,0,24786
3,95,0,24786
3,96,0,24786
3,97,0,24786
3,98,0,24786
3,99,0,24786
3,100,0,24786
3,101,0,24786
3,102,0,24786
3,103,0,24786
3,104,0,24786
3,105,0,24786
3,106,0,24786
3,107,0,24786
3,108,0,24786
3,109,0,24786
3,110,0,24786
3,111,0,24786
3,112,0,24786
3,113,0,24786
3,114,0,24786
3,115,515,24786
3,116,9,24786
3,117,0,24786
3,118,0,24786
3,119,0,24786
3,120,0,24786
3,121,0,24786
3,122,0,24786
3,123,0,24786
3,124,0,24786
3,125,0,24786
3,126,0,24786
3,127,0,24786
3,128,0,24786
3,129,0,24786
3,130,0,24786
3,131,0,24786
3,132,0,24786
3,133,0,24786
3,134,0,24786
3,135,0,24786
3,136,0,24786
3,137,0,24786
3,138,0,24786
3,139,0,24786
3,140,0,24786
3,141,0,24786
3,142,0,24786
3,143,0,24786
3,144,0,24786
3,145,0,24786
3,146,0,24786
3,147,0,24786
3,148,0,24786
3,149,0,24786
3,150,0,24786
3,151,0,24786
3,152,0,24786
3,153,0,24786
3,154,0,24786
3,155,0,24786
3,156,0,24786
3,157,0,24786
3,158,0,24786
3,159,0,24786
3,160,0,24786
3,161,0,24786
3,162,0,24786
3,163,0,24786
3,164,0,24786
3,165,0,24786
3,166,0,24786
3,167,0,24786
3,168,0,24786
3,169,0,24786
3,170,0,24786
3,171,0,24786
3,172,0,24786
3,173,0,24786
3,174,0,24786
3,175,0,24786
3,176,0,24786
3,177,0,24786
3,178,0,24786
3,179,0,24786
3,180,0,24786
3,181,0,24786
3,182,0,24786
3,183,0,24786
3,184,0,24786
3,185,0,24786
3,186,0,24786
3,187,0,24786
3,188,0,24786
3,189,0,24786
3,190,0,24786
3,191,0,24786
3,192,0,24786
3,193,0,24786
3,194,0,24786
3,195,0,24786
3,196,0,24786
3,197,0,24786
3,198,0,24786
3,199,0,24786
3,200,0,24786
3,201,0,24786
3,202,0,24786
3,203,0,24786
3,204,0,24786
3,205,0,24786
3,206,0,24786
3,207,0,24786
3,208,0,24786
3,209,0,24786
3,210,0,24786
3,211,0,24786
3,212,0,24786
3,213,0,24786
3,214,0,24786
3,215,0,24786
3,216,0,24786
3,217,0,24786
3,218,0,24786
3,219,0,24786
3,220,0,24786
3,221,0,24786
3,222,0,24786
3,223,0,24786
3,224,0,24786
3,225,0,24786
3,226,0,24786
3,227,0,24786
3,228,0,24786
3,229,0,24786
3,230,0,24786
3,231,0,24786
3,232,0,24786
3,233,0,24786
3,234,0,24786
3,235,0,24786
3,236,0,24786
3,237,0,24786
3,238,0,24786
3,239,0,24786
3,240,0,24786
3,241,0,24786
3,242,0,24786
3,243,0,24786
3,244,0,24786
3,245,0,24786
3,246,0,24786
3,247,0,24786
3,248,0,24786
3,249,0,24786
3,250,0,24786
3,251,0,24786
3,252,0,24786
3,253,0,24786
3,254,0,24786
3,255,0,24786
3,256,0,24786
3,257,0,24786
3,258,0,24786
3,259,0,24786
3,260,0,24786
3,261,0,24786
3,262,0,24786
3,263,0,24786
3,264,0,24786
3,265,0,24786
3,266,0,24786
3,267,0,24786
3,268,0,24786
3,269,0,24786
3,270,0,24786
3,271,0,24786
